project_id,project_name,project_type,business_unit,methodology,priority_level,planned_budget_usd,actual_cost_usd,cost_variance_percent,schedule_variance_percent,schedule_variance_days,spi,cpi,planned_value_usd,earned_value_usd,completed_tasks_percent,open_risks_count,open_issues_count,scope_changes_count,resource_utilization_percent,stakeholder_sentiment_score,risk_score,status,recovery_priority,expected_recovery_timeline,recommended_action,start_date,planned_end_date,forecast_end_date
PRJ-0016,Mobile App Development 16,Mobile App Development,Finance,Agile,High,359675,383629.35,6.66,8.13,16,0.85,0.88,205014.75,174262.54,57,5,5,4,84,3.4,70.26,Red,High,6-8 weeks,,2025-11-10,2026-07-12,2026-07-28
PRJ-0017,Vendor Management Platform 17,Vendor Management Platform,IT,Hybrid,High,684473,916098.66,33.84,20.09,32,0.8,0.77,232720.82,186176.66,34,13,12,9,95,2.5,186.73,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-12-18,2026-06-30,2026-08-01
PRJ-0018,Infrastructure Refresh 18,Infrastructure Refresh,Marketing,Hybrid,Critical,343563,383794.23,11.71,14.29,9,0.84,0.92,257672.25,216444.69,75,6,4,5,90,3.6,92.83,Red,Critical,6-8 weeks,Rebaseline project schedule; Freeze non-critical scope changes,2025-02-27,2025-06-01,2025-06-10
PRJ-0019,CRM Modernization 19,CRM Modernization,Operations,Hybrid,High,460575,506033.75,9.87,6.42,19,0.94,0.93,377671.5,355011.21,82,4,5,3,92,3.2,76.79,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-07-01,2025-11-20,2025-12-09
PRJ-0020,DevOps Enablement 20,DevOps Enablement,Risk & Compliance,Waterfall,High,1242948,1646036.04,32.43,39.45,36,0.8,0.61,571756.08,457404.86,46,15,18,10,95,1.9,235.0,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-07-15,2025-12-07,2026-01-12
PRJ-0021,ERP Implementation 21,ERP Implementation,HR,Agile,High,400015,414255.53,3.56,4.1,0,0.96,0.99,352013.2,337932.67,88,2,0,1,73,4.6,20.8,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-14,2026-10-04,2026-10-04
PRJ-0022,DevOps Enablement 22,DevOps Enablement,Customer Experience,Waterfall,Low,998967,1268987.78,27.03,39.62,27,0.62,0.7,449535.15,278711.79,45,15,17,9,93,2.0,220.74,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-05-11,2025-11-14,2025-12-11
PRJ-0023,ERP Implementation 23,ERP Implementation,Risk & Compliance,Agile,Critical,783204,772082.5,-1.42,1.02,7,1.07,1.05,775371.96,829648.0,99,0,2,2,71,4.7,13.73,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-26,2026-04-09,2026-04-16
PRJ-0024,AI Adoption Program 24,AI Adoption Program,Marketing,Agile,Medium,979923,1251263.68,27.69,23.92,60,0.79,0.67,372370.74,294172.88,38,15,17,9,97,2.2,203.92,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-12-12,2026-10-24,2026-12-23
PRJ-0025,Procurement Automation 25,Procurement Automation,Marketing,Hybrid,Critical,505868,566218.05,11.93,8.84,18,0.85,0.94,313638.16,266592.44,62,6,4,3,84,3.0,78.21,Red,Critical,6-8 weeks,,2025-09-01,2026-04-04,2026-04-22
PRJ-0026,Digital Workplace Rollout 26,Digital Workplace Rollout,Finance,Hybrid,Critical,955261,1055085.77,10.45,8.44,8,0.94,0.93,554051.38,520808.3,58,7,4,3,94,3.9,82.21,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-08-26,2026-08-16,2026-08-24
PRJ-0027,ERP Implementation 27,ERP Implementation,Marketing,Agile,High,567213,580485.78,2.34,4.92,6,1.0,1.07,521835.96,521835.96,92,3,3,0,77,4.5,26.7,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-03-07,2026-10-09,2026-10-15
PRJ-0028,Infrastructure Refresh 28,Infrastructure Refresh,Marketing,Hybrid,Medium,379607,375355.4,-1.12,0.35,5,0.97,0.98,341646.3,331396.91,90,1,1,0,75,4.4,9.75,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-01,2026-06-25,2026-06-30
PRJ-0029,ERP Implementation 29,ERP Implementation,Procurement,Waterfall,Medium,190961,217141.75,13.71,13.66,20,0.89,0.94,122215.04,108771.39,64,7,6,3,89,3.2,97.01,Red,Critical,6-8 weeks,,2025-09-06,2026-07-16,2026-08-05
PRJ-0030,Cloud Migration 30,Cloud Migration,Risk & Compliance,Agile,High,253061,262474.87,3.72,4.44,6,1.02,1.09,242938.56,247797.33,96,0,0,2,75,4.1,23.44,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-04,2026-02-24,2026-03-02
PRJ-0031,ERP Implementation 31,ERP Implementation,Sales,Agile,Medium,477542,473864.93,-0.77,4.66,3,0.99,0.97,372482.76,368757.93,78,0,2,0,82,4.1,19.46,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-22,2026-05-12,2026-05-15
PRJ-0032,Cloud Migration 32,Cloud Migration,Procurement,Agile,Low,212352,214029.58,0.79,-1.2,0,1.02,1.0,188993.28,192773.15,89,1,0,0,71,4.1,10.65,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-06-09,2025-09-20,2025-09-20
PRJ-0033,Data Governance Program 33,Data Governance Program,Risk & Compliance,Agile,High,737711,729891.26,-1.06,2.88,1,1.06,1.04,597545.91,633398.66,81,0,2,2,75,4.7,16.14,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-17,2026-01-20,2026-01-21
PRJ-0034,Mobile App Development 34,Mobile App Development,IT,Waterfall,High,459781,469344.44,2.08,3.8,-1,1.01,1.06,450585.38,455091.23,98,2,3,1,75,4.8,23.04,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-06-15,2026-01-28,2026-01-28
PRJ-0035,License Optimization 35,License Optimization,Finance,Agile,Medium,1345061,1499608.51,11.49,9.79,8,0.89,0.88,941542.7,837973.0,70,5,5,4,87,3.3,82.31,Red,Critical,6-8 weeks,,2025-10-12,2026-05-31,2026-06-08
PRJ-0036,Cloud Migration 36,Cloud Migration,Marketing,Waterfall,Low,1174622,1303830.42,11.0,8.4,23,0.91,0.89,939697.6,855124.82,80,4,3,4,85,3.4,70.42,Red,High,6-8 weeks,,2025-06-06,2026-01-06,2026-01-29
PRJ-0037,Data Governance Program 37,Data Governance Program,Customer Experience,Hybrid,High,657124,654824.07,-0.35,2.92,1,1.0,0.99,551984.16,551984.16,84,2,0,2,79,5.0,14.8,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-09,2025-10-10,2025-10-11
PRJ-0038,Procurement Automation 38,Procurement Automation,HR,Agile,High,1401560,1521393.38,8.55,7.01,14,0.87,0.88,896998.4,780388.61,64,4,8,3,86,3.0,76.97,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2025-10-11,2026-02-05,2026-02-19
PRJ-0039,AI Adoption Program 39,AI Adoption Program,Operations,Hybrid,High,92861,94337.49,1.59,1.29,4,1.0,1.1,79860.46,79860.46,86,3,0,0,74,4.5,15.09,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-19,2025-07-14,2025-07-18
PRJ-0040,Data Warehouse Migration 40,Data Warehouse Migration,Enterprise PMO,Waterfall,Low,665181,685934.65,3.12,2.24,6,0.99,1.03,611966.52,605846.85,92,3,2,2,75,4.3,29.76,Amber,Low,2-4 weeks,,2025-11-09,2026-03-09,2026-03-15
PRJ-0041,Cybersecurity Program 41,Cybersecurity Program,Procurement,Hybrid,Medium,331516,326178.59,-1.61,-1.47,-3,1.01,1.06,308309.88,311392.98,93,2,0,0,71,4.7,7.4,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-06,2025-12-25,2025-12-25
PRJ-0042,License Optimization 42,License Optimization,Sales,Hybrid,High,564856,620381.34,9.83,11.45,12,0.94,0.93,321967.92,302649.84,57,4,4,4,91,3.7,79.18,Red,Critical,6-8 weeks,,2025-08-13,2026-04-07,2026-04-19
PRJ-0043,Cybersecurity Program 43,Cybersecurity Program,HR,Hybrid,High,2349132,2966014.06,26.26,27.07,27,0.8,0.77,1479953.16,1183962.53,63,13,8,5,95,2.8,164.3,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-27,2026-05-07,2026-06-03
PRJ-0044,Infrastructure Refresh 44,Infrastructure Refresh,Enterprise PMO,Agile,High,763157,767278.05,0.54,-0.05,6,1.01,1.07,610525.6,616630.86,80,3,2,1,72,4.3,20.75,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-24,2025-08-14,2025-08-20
PRJ-0045,Mobile App Development 45,Mobile App Development,Risk & Compliance,Hybrid,Medium,2557272,2984336.42,16.7,19.03,41,0.67,0.82,1278636.0,856686.12,50,9,18,9,99,2.1,174.38,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-09-23,2026-03-28,2026-05-08
PRJ-0046,Customer Portal Revamp 46,Customer Portal Revamp,Enterprise PMO,Hybrid,High,576892,625350.93,8.4,7.31,17,0.89,0.92,334597.36,297791.65,58,4,8,3,93,3.1,84.08,Red,Critical,6-8 weeks,Create issue war-room and assign owners; Add temporary resources or rebalance workload,2025-10-10,2026-01-15,2026-02-01
PRJ-0047,Business Intelligence Dashboard 47,Business Intelligence Dashboard,Finance,Agile,High,203172,207601.15,2.18,-0.92,1,1.02,1.0,188949.96,192728.96,93,3,1,1,79,4.1,22.32,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-03,2026-05-09,2026-05-10
PRJ-0048,Vendor Management Platform 48,Vendor Management Platform,Operations,Waterfall,Medium,1020197,1112626.85,9.06,13.88,16,0.93,0.87,652926.08,607221.25,64,8,7,5,84,3.4,95.12,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Freeze non-critical scope changes,2025-06-26,2026-05-29,2026-06-14
PRJ-0049,Mobile App Development 49,Mobile App Development,Marketing,Hybrid,Medium,1041265,1401855.07,34.63,22.49,49,0.65,0.78,281141.55,182742.01,27,14,15,10,98,2.0,209.59,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-09-11,2026-02-25,2026-04-15
PRJ-0050,ERP Implementation 50,ERP Implementation,Operations,Hybrid,High,2096778,2471891.58,17.89,37.94,25,0.77,0.69,712904.52,548936.48,34,10,15,7,97,2.4,186.29,Red,Critical,6-8 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-11-29,2026-09-18,2026-10-13
PRJ-0051,CRM Modernization 51,CRM Modernization,Customer Experience,Waterfall,Critical,412043,420325.06,2.01,4.21,4,1.06,0.97,329634.4,349412.46,80,1,2,0,64,4.4,19.18,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-25,2026-06-14,2026-06-18
PRJ-0052,Cybersecurity Program 52,Cybersecurity Program,HR,Agile,Medium,420131,434289.41,3.37,0.05,2,1.01,0.99,382319.21,386142.4,91,1,1,0,64,4.6,11.81,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-14,2026-08-26,2026-08-28
PRJ-0053,License Optimization 53,License Optimization,HR,Waterfall,Low,346314,348668.94,0.68,2.67,4,1.07,1.05,287440.62,307561.46,83,0,3,1,80,4.3,18.89,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-20,2026-10-23,2026-10-27
PRJ-0054,Infrastructure Refresh 54,Infrastructure Refresh,HR,Waterfall,Medium,586680,574066.38,-2.15,0.67,2,1.03,1.1,510411.6,525723.95,87,0,3,1,62,4.6,13.07,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-07,2026-03-02,2026-03-04
PRJ-0055,Network Modernization 55,Network Modernization,Sales,Hybrid,Medium,609285,680754.13,11.73,12.21,12,0.91,0.94,456963.75,415837.01,75,4,5,5,82,3.5,79.15,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-02-16,2025-07-23,2025-08-04
PRJ-0056,AI Adoption Program 56,AI Adoption Program,Customer Experience,Hybrid,Medium,645610,671498.96,4.01,0.56,5,1.07,1.08,555224.6,594090.32,86,3,2,2,72,4.8,24.64,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-08,2026-01-03,2026-01-08
PRJ-0057,Data Warehouse Migration 57,Data Warehouse Migration,Procurement,Waterfall,High,2587538,3181377.97,22.95,35.19,25,0.66,0.63,1242018.24,819732.04,48,13,17,8,97,1.7,208.89,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-08-30,2026-03-27,2026-04-21
PRJ-0058,Cloud Migration 58,Cloud Migration,Enterprise PMO,Waterfall,High,1178481,1512108.97,28.31,31.61,54,0.81,0.67,601025.31,486830.5,51,10,10,5,92,1.9,173.06,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-03-01,2026-02-06,2026-04-01
PRJ-0059,Cybersecurity Program 59,Cybersecurity Program,Procurement,Waterfall,Low,783055,819075.53,4.6,2.88,5,1.01,1.06,642105.1,648526.15,82,3,0,1,81,4.4,25.66,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-17,2025-09-07,2025-09-12
PRJ-0060,Customer Portal Revamp 60,Customer Portal Revamp,Procurement,Agile,Critical,666723,897675.85,34.64,25.45,47,0.61,0.66,213351.36,130144.33,32,16,9,10,95,2.4,199.95,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-01-26,2025-05-06,2025-06-22
PRJ-0061,Mobile App Development 61,Mobile App Development,Procurement,Waterfall,High,661128,652268.88,-1.34,-0.49,0,1.0,0.98,641294.16,641294.16,97,0,2,0,66,4.5,8.0,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-26,2025-08-24,2025-08-24
PRJ-0062,Cloud Migration 62,Cloud Migration,Operations,Agile,High,419498,407458.41,-2.87,-0.14,-1,1.05,1.03,335598.4,352378.32,80,3,3,1,78,4.6,19.7,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-15,2026-08-02,2026-08-02
PRJ-0063,License Optimization 63,License Optimization,Enterprise PMO,Agile,High,2437124,2966711.05,21.73,31.8,26,0.61,0.71,1218562.0,743322.82,50,15,18,5,99,2.5,196.82,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-02-07,2025-12-21,2026-01-16
PRJ-0064,CRM Modernization 64,CRM Modernization,Customer Experience,Hybrid,Low,743829,756325.33,1.68,2.99,3,1.08,1.03,684322.68,739068.49,92,3,0,2,65,4.9,20.2,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-09,2026-02-25,2026-02-28
PRJ-0065,Identity Access Management 65,Identity Access Management,Procurement,Agile,High,179704,178805.48,-0.5,0.19,1,1.0,0.98,167124.72,167124.72,93,0,0,0,64,4.4,5.05,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-20,2026-11-27,2026-11-28
PRJ-0066,Data Warehouse Migration 66,Data Warehouse Migration,Marketing,Agile,Critical,406337,445751.69,9.7,14.74,21,0.94,0.92,260055.68,244452.34,64,8,5,4,83,3.5,88.1,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee,2025-03-21,2025-10-05,2025-10-26
PRJ-0067,Network Modernization 67,Network Modernization,Procurement,Waterfall,Medium,390931,441204.73,12.86,11.74,21,0.93,0.95,316654.11,294488.32,81,8,7,2,91,3.8,92.39,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee,2025-01-15,2025-08-29,2025-09-19
PRJ-0068,ITSM Transformation 68,ITSM Transformation,Sales,Hybrid,Medium,86402,85062.77,-1.55,-1.0,7,1.01,0.98,84673.96,85520.7,98,0,0,2,78,4.2,12.4,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-21,2026-06-21,2026-06-28
PRJ-0069,Mobile App Development 69,Mobile App Development,Operations,Agile,High,1340329,1492724.41,11.37,14.83,12,0.86,0.91,1018650.04,876039.03,76,4,5,5,92,3.4,93.92,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload; Freeze non-critical scope changes,2025-08-01,2026-06-13,2026-06-25
PRJ-0070,Infrastructure Refresh 70,Infrastructure Refresh,Procurement,Hybrid,Low,377005,386166.22,2.43,2.15,5,1.04,0.97,339304.5,352876.68,90,0,0,0,71,4.9,6.51,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-27,2026-07-06,2026-07-11
PRJ-0071,Infrastructure Refresh 71,Infrastructure Refresh,Sales,Agile,Low,518458,555579.59,7.16,11.33,15,0.9,0.93,414766.4,373289.76,80,6,3,5,93,3.0,89.62,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload; Freeze non-critical scope changes,2025-08-24,2025-12-01,2025-12-16
PRJ-0072,CRM Modernization 72,CRM Modernization,Customer Experience,Hybrid,High,1025967,1114302.76,8.61,10.05,18,0.86,0.94,707917.23,608808.82,69,6,3,5,83,3.2,77.1,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-09-26,2026-07-18,2026-08-05
PRJ-0073,CRM Modernization 73,CRM Modernization,Risk & Compliance,Waterfall,High,256299,250173.45,-2.39,2.43,5,1.02,1.09,228106.11,232668.23,89,2,1,0,65,4.1,17.36,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-30,2025-10-07,2025-10-12
PRJ-0074,Digital Workplace Rollout 74,Digital Workplace Rollout,Operations,Hybrid,High,738452,745467.29,0.95,3.28,6,1.01,1.09,708913.92,716003.06,96,2,2,0,76,4.1,21.6,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-20,2026-10-02,2026-10-08
PRJ-0075,AI Adoption Program 75,AI Adoption Program,Sales,Hybrid,Medium,564172,567669.87,0.62,-1.6,1,0.97,1.08,451337.6,437797.47,80,3,3,2,79,5.0,20.24,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-19,2025-12-08,2025-12-09
PRJ-0076,Data Governance Program 76,Data Governance Program,Procurement,Agile,Medium,144879,145748.27,0.6,3.68,2,1.08,0.97,141981.42,153339.93,98,1,0,0,84,4.4,17.2,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-26,2026-08-06,2026-08-08
PRJ-0077,Vendor Management Platform 77,Vendor Management Platform,Enterprise PMO,Agile,Medium,508625,524901.0,3.2,2.75,-3,1.05,1.05,406900.0,427245.0,80,2,0,2,83,4.4,26.51,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-06,2026-08-13,2026-08-13
PRJ-0078,Digital Workplace Rollout 78,Digital Workplace Rollout,Operations,Agile,High,446813,444489.57,-0.52,2.59,7,1.01,1.04,357450.4,361024.9,80,2,3,2,72,4.8,21.97,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-17,2026-02-11,2026-02-18
PRJ-0079,Business Intelligence Dashboard 79,Business Intelligence Dashboard,Marketing,Agile,Medium,304597,303774.59,-0.27,3.36,0,0.99,0.98,243677.6,241240.82,80,2,0,2,79,4.8,16.97,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-20,2026-01-14,2026-01-14
PRJ-0080,Mobile App Development 80,Mobile App Development,Enterprise PMO,Agile,Medium,735087,760594.52,3.47,-0.84,4,0.97,1.01,624823.95,606079.23,85,3,2,2,76,4.2,28.06,Amber,Low,2-4 weeks,,2025-06-08,2026-01-06,2026-01-10
PRJ-0081,Network Modernization 81,Network Modernization,Procurement,Agile,Critical,2186426,2855909.64,30.62,34.9,57,0.72,0.82,808977.62,582463.89,37,11,12,5,99,2.7,187.91,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-12-31,2026-05-22,2026-07-18
PRJ-0082,Vendor Management Platform 82,Vendor Management Platform,Finance,Agile,High,618289,607036.14,-1.82,1.06,0,1.06,1.08,482265.42,511201.35,78,3,0,1,78,4.4,16.68,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-11,2025-11-25,2025-11-25
PRJ-0083,Customer Portal Revamp 83,Customer Portal Revamp,Procurement,Agile,Critical,853154,965087.8,13.12,7.38,17,0.94,0.89,691054.74,649591.46,81,5,8,5,89,3.6,89.94,Red,Critical,6-8 weeks,Create issue war-room and assign owners; Freeze non-critical scope changes,2025-01-10,2025-05-20,2025-06-06
PRJ-0084,Infrastructure Refresh 84,Infrastructure Refresh,Procurement,Waterfall,High,1256817,1380110.75,9.81,13.76,15,0.87,0.85,854635.56,743532.94,68,8,6,2,83,3.8,80.56,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee,2025-11-02,2026-10-13,2026-10-28
PRJ-0085,DevOps Enablement 85,DevOps Enablement,IT,Hybrid,High,760841,835859.92,9.86,12.15,15,0.9,0.86,578239.16,520415.24,76,4,7,4,83,3.9,75.73,Red,Critical,6-8 weeks,,2026-02-07,2027-01-22,2027-02-06
PRJ-0086,Vendor Management Platform 86,Vendor Management Platform,Marketing,Agile,Critical,485674,509229.19,4.85,-0.22,-3,1.0,0.97,412822.9,412822.9,85,0,2,0,63,4.4,14.62,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-21,2026-11-11,2026-11-11
